mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
1.4477163895376075e-06,0.0031604451799157,0.0112161489082482,-0.0124365811745599,0.0236527300828082,-0.0229689808004183,0.0268972638201936,0.003160445511496,3.548913869088965,9.988413735252731e-06,2524,475.0,3.956581314330861e-07,664.000810254785,1209.615780491228,0.0609615869139756,normal,normal,0
-5.805520460982817e-05,0.0352654663187359,0.3883968235298997,-0.4405292277276926,0.8289260512575922,-0.406541578797049,46.47571846880118,0.0352655141049252,11.013502380095892,0.0012436531146779,1177,125.0,4.823976804224773e-05,221.23629873316904,241.94775289273775,0.0011563042423313,squat A,squat A,1
8.470177592705176e-05,0.0070667594775812,0.02680014406739,-0.0235211087724081,0.0503212528397982,0.2138140133510617,0.3258382890720579,0.0070672670746781,3.792151023047429,4.9939089513984384e-05,346,150.0,1.986304818922217e-06,310.3272613852352,604.5106430794971,0.0141218609705077,normal,normal,0
6.151303699260439e-05,0.0611501930579874,0.6775644034572931,-0.5586219217539476,1.2361863252112406,0.4557731025526714,28.988498693565788,0.0611502239969966,11.080325780827415,0.0037393461110291,1052,125.0,0.0001454774241805,249.26580310278908,209.7130079032914,0.000554156814119,joint X,joint X,1
4.890466365482827e-06,0.0623127231237662,0.6775644034572931,-0.5586219217539476,1.2361863252112406,0.4270832653538787,26.705667732855076,0.0623127233156745,10.873612440669143,0.0038828754630991,919,125.0,0.0001523088454928,247.8508088505976,206.1281523739252,0.0005270519791442,squat B,squat B,1
-8.112121501367156e-06,0.0400895183248215,0.4656836316023768,-0.4286008503349243,0.8942844819373013,0.2698710410760468,39.41271446117891,0.0400895191455661,11.61609421932616,0.0016071694795162,1091,425.0,6.179514069924343e-05,308.23480614015466,190.8560282024836,0.0007939138105312,squat C,squat C,1
-2.4680659193697587e-05,0.0095594783945468,0.0268575826774387,-0.0289990153421947,0.0558565980196335,-0.1903281079998578,-0.2862715466850107,0.009559510254754,2.8095145003984223,9.13836271758088e-05,293,250.0,3.7117826794930665e-06,348.48336346415863,471.45566675151696,0.0085145685275749,normal,normal,0
1.5318581266475116e-05,0.0524396296187568,0.8724303384771271,-0.8239296209574664,1.6963599594345935,0.6644418826334865,68.24239369637583,0.0524396318561765,16.636850938807058,0.0027499147545523,963,125.0,0.0001032513723128,638.2489065563067,1232.6136085269245,0.01751880944441,squat A,squat A,1
-5.475634969684363e-05,0.0110616943333404,0.0360080277399463,-0.0319732365210268,0.0679812642609732,0.0180278530804965,-0.264268670726651,0.0110618298568586,3.255160150345328,0.0001223610815242,376,150.0,4.827504402977667e-06,337.8910759397751,428.7917847179552,0.0066869325677935,normal,normal,0
1.620383155107182e-05,0.0746026255477396,0.8110095158614997,-0.8966791297888599,1.7076886456503595,0.5502717130676713,50.5834527121921,0.0746026273074911,10.871058367941195,0.0055655517386162,830,125.0,0.0002361113420665,190.94542184473244,152.59744669905118,0.0002672801070501,squat B,squat B,1
-1.966529409082862e-05,0.026540675756606,0.3704998307593609,-0.2126931540968688,0.5831929848562297,1.4671800547546223,32.31893915524469,0.0265406830420976,13.959694638291367,0.0007044074696172,926,125.0,2.8345865264380972e-05,274.03482814994936,263.4034214359772,0.0016053173521591,squat C,squat C,1
